order_detail_id,order_id,product_id,quantity,discount,profit
1,1001,101,1,0.05,5000
2,1001,103,2,0.1,400
3,1002,102,1,0.05,3000
4,1003,105,1,0.1,1200
5,1003,108,5,0,150
6,1004,106,1,0.05,1800
7,1005,101,1,0.1,4000
8,1005,104,2,0.05,300
9,1006,109,3,0,90
10,1006,110,1,0.1,100
11,1007,102,2,0.05,5500
12,1008,107,1,0.1,900
13,1008,108,10,0.05,250
14,1009,101,1,0.05,5000
15,1009,103,1,0,500
16,1010,106,1,0.1,1500
17,1011,105,2,0.05,2200
18,1012,102,1,0,3500
19,1013,101,1,0.15,3000
20,1013,104,1,0.1,200
21,1014,107,2,0.05,1800
22,1015,106,1,0.1,1600
23,1016,102,1,0.05,3200
24,1016,109,2,0,60
25,1017,101,1,0.1,4500
26,1018,105,1,0.05,1300
27,1019,103,2,0.1,350
28,1020,102,1,0.05,2800
