order_id,customer_id,order_date,payment_method
1001,1,05-01-2026,UPI
1002,2,08-01-2026,Credit Card
1003,3,15-01-2026,UPI
1004,4,02-02-2026,Debit Card
1005,5,10-02-2026,UPI
1006,6,18-02-2026,Cash
1007,7,03-03-2026,Credit Card
1008,8,12-03-2026,UPI
1009,9,25-03-2026,Debit Card
1010,10,04-04-2026,UPI
1011,11,15-04-2026,Credit Card
1012,12,22-04-2026,UPI
1013,13,05-05-2026,Debit Card
1014,14,17-05-2026,UPI
1015,15,28-05-2026,Credit Card
1016,1,03-06-2026,UPI
1017,2,11-06-2026,Credit Card
1018,5,20-06-2026,UPI
1019,8,02-07-2026,Debit Card
1020,9,15-07-2026,UPI
